Date,Category,Value,Product,Sales,Region
01-01-2023,A,28,Product1,754,East
02-01-2023,B,39,Product3,110,North
03-01-2023,C,32,Product2,398,East
04-01-2023,B,8,Product1,522,East
05-01-2023,B,26,Product3,869,North
06-01-2023,B,54,Product3,192,West
07-01-2023,A,16,Product1,936,East
08-01-2023,C,89,Product1,488,West
09-01-2023,C,37,Product3,772,West
10-01-2023,A,22,Product2,834,West
11-01-2023,B,7,Product1,842,North
12-01-2023,B,60,Product2,,West
13-01-2023,A,70,Product3,628,South
14-01-2023,A,69,Product1,423,East
15-01-2023,A,47,Product2,893,West
16-01-2023,C,,Product1,895,North
17-01-2023,C,93,Product2,511,South
18-01-2023,C,,Product1,108,West
19-01-2023,A,31,Product2,578,West
20-01-2023,A,59,Product1,736,East
21-01-2023,C,82,Product3,606,South
22-01-2023,C,37,Product2,992,South
23-01-2023,B,62,Product3,942,North
24-01-2023,C,92,Product2,342,West
25-01-2023,A,24,Product2,458,East
26-01-2023,C,95,Product1,584,West
27-01-2023,C,71,Product2,619,North
28-01-2023,C,56,Product2,224,North
29-01-2023,B,,Product3,617,North
30-01-2023,C,51,Product2,737,South
31-01-2023,B,50,Product3,735,West
01-02-2023,A,17,Product2,189,West
02-02-2023,B,63,Product3,338,South
03-02-2023,C,27,Product3,,East
04-02-2023,C,70,Product3,669,West
05-02-2023,B,60,Product2,,West
06-02-2023,C,36,Product3,177,East
07-02-2023,C,2,Product1,,North
08-02-2023,C,94,Product1,408,South
09-02-2023,A,62,Product1,155,West
10-02-2023,B,15,Product1,578,East
11-02-2023,C,97,Product1,256,East
12-02-2023,A,93,Product3,164,West
13-02-2023,A,43,Product3,949,East
14-02-2023,A,96,Product3,830,East
15-02-2023,B,99,Product2,599,West
16-02-2023,B,6,Product1,938,South
17-02-2023,B,69,Product3,143,West
18-02-2023,C,65,Product3,182,North
19-02-2023,C,11,Product3,708,North
